Ag_Fe_C_din4_x2_c6, -629.086
Au_Fe_C_din4_x2_c6, -630.74
Cd_Fe_C_din4_x2_c6, -627.199
Co_Fe_C_din4_x2_c6, -635.247
Cu_Fe_C_din4_x2_c6, -631.95
Fe_Fe_C_din4_x2_c6, -636.278
Ir_Fe_C_din4_x2_c6, -636.896
Ni_Fe_C_din4_x2_c6, -634.05
Os_Fe_C_din4_x2_c6, -636.656
Pd_Fe_C_din4_x2_c6, -632.575
Pt_Fe_C_din4_x2_c6, -634.83
Rh_Fe_C_din4_x2_c6, -633.731
Ru_Fe_C_din4_x2_c6, -635.29
Zn_Fe_C_din4_x2_c6, -628.181
Ag_Fe_N_din4_x2_c0, -629.472
Au_Fe_N_din4_x2_c0, -630.589
Cd_Fe_N_din4_x2_c0, -628.529
Co_Fe_N_din4_x2_c0, -637.499
Cu_Fe_N_din4_x2_c0, -632.182
Fe_Fe_N_din4_x2_c0, -639.053
Ir_Fe_N_din4_x2_c0, -638.494
Ni_Fe_N_din4_x2_c0, -635.475
Os_Fe_N_din4_x2_c0, -640.576
Pd_Fe_N_din4_x2_c0, -634.298
Pt_Fe_N_din4_x2_c0, -635.427
Rh_Fe_N_din4_x2_c0, -637.231
Ru_Fe_N_din4_x2_c0, -638.992
Zn_Fe_N_din4_x2_c0, -630.072
Ag_Fe_N_din4_x2_c1_a, -628.342
Au_Fe_N_din4_x2_c1_a, -628.935
Cd_Fe_N_din4_x2_c1_a, -627.737
Co_Fe_N_din4_x2_c1_a, -637.576
Cu_Fe_N_din4_x2_c1_a, -631.006
Fe_Fe_N_din4_x2_c1_a, -638.958
Ir_Fe_N_din4_x2_c1_a, -638.622
Ni_Fe_N_din4_x2_c1_a, -635.381
Os_Fe_N_din4_x2_c1_a, -640.75
Pd_Fe_N_din4_x2_c1_a, -634.41
Pt_Fe_N_din4_x2_c1_a, -635.613
Rh_Fe_N_din4_x2_c1_a, -637.349
Ru_Fe_N_din4_x2_c1_a, -639.121
Zn_Fe_N_din4_x2_c1_a, -628.502
Ag_Fe_N_din4_x2_c1_a_v2, -630.13
Au_Fe_N_din4_x2_c1_a_v2, -631.357
Cd_Fe_N_din4_x2_c1_a_v2, -628.302
Co_Fe_N_din4_x2_c1_a_v2, -637.649
Cu_Fe_N_din4_x2_c1_a_v2, -632.704
Fe_Fe_N_din4_x2_c1_a_v2, -638.958
Ir_Fe_N_din4_x2_c1_a_v2, -638.679
Ni_Fe_N_din4_x2_c1_a_v2, -635.793
Os_Fe_N_din4_x2_c1_a_v2, -640.659
Pd_Fe_N_din4_x2_c1_a_v2, -634.664
Pt_Fe_N_din4_x2_c1_a_v2, -636.038
Rh_Fe_N_din4_x2_c1_a_v2, -637.228
Ru_Fe_N_din4_x2_c1_a_v2, -638.887
Zn_Fe_N_din4_x2_c1_a_v2, -628.766
Ag_Fe_N_din4_x2_c1_b, -629.43
Au_Fe_N_din4_x2_c1_b, -630.538
Cd_Fe_N_din4_x2_c1_b, -627.922
Co_Fe_N_din4_x2_c1_b, -637.43
Cu_Fe_N_din4_x2_c1_b, -632.16
Fe_Fe_N_din4_x2_c1_b, -638.72
Ir_Fe_N_din4_x2_c1_b, -638.512
Ni_Fe_N_din4_x2_c1_b, -635.484
Os_Fe_N_din4_x2_c1_b, -640.368
Pd_Fe_N_din4_x2_c1_b, -634.415
Pt_Fe_N_din4_x2_c1_b, -635.704
Rh_Fe_N_din4_x2_c1_b, -637.125
Ru_Fe_N_din4_x2_c1_b, -638.703
Zn_Fe_N_din4_x2_c1_b, -629.434
Ag_Fe_N_din4_x2_c2_a, -629.159
Au_Fe_N_din4_x2_c2_a, -630.105
Cd_Fe_N_din4_x2_c2_a, -628.416
Co_Fe_N_din4_x2_c2_a, -637.379
Cu_Fe_N_din4_x2_c2_a, -632.219
Fe_Fe_N_din4_x2_c2_a, -638.733
Ir_Fe_N_din4_x2_c2_a, -638.496
Ni_Fe_N_din4_x2_c2_a, -635.364
Os_Fe_N_din4_x2_c2_a, -640.423
Pd_Fe_N_din4_x2_c2_a, -634.256
Pt_Fe_N_din4_x2_c2_a, -635.454
Rh_Fe_N_din4_x2_c2_a, -637.165
Ru_Fe_N_din4_x2_c2_a, -638.799
Zn_Fe_N_din4_x2_c2_a, -629.797
Ag_Fe_N_din4_x2_c2_a_v2, -630.192
Au_Fe_N_din4_x2_c2_a_v2, -631.663
Cd_Fe_N_din4_x2_c2_a_v2, -627.497
Co_Fe_N_din4_x2_c2_a_v2, -637.54
Cu_Fe_N_din4_x2_c2_a_v2, -632.766
Fe_Fe_N_din4_x2_c2_a_v2, -638.661
Ir_Fe_N_din4_x2_c2_a_v2, -638.798
Ni_Fe_N_din4_x2_c2_a_v2, -635.794
Os_Fe_N_din4_x2_c2_a_v2, -640.388
Pd_Fe_N_din4_x2_c2_a_v2, -634.531
Pt_Fe_N_din4_x2_c2_a_v2, -636.227
