system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2,color
Pd_Fe_N_din4_x2_c1_a,-634.41,Pd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Pd_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-5.79450325,-8.6197175,-3.2197792500000144,red
Pt_Fe_N_din4_x2_c1_a,-635.613,Pt,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Pt_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-6.8665185,-8.6197175,-3.350764000000103,red
Rh_Fe_N_din4_x2_c1_a,-637.349,Rh,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Rh_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-7.850822,-8.6197175,-4.102460500000092,red
Ru_Fe_N_din4_x2_c1_a,-639.121,Ru,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ru_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-9.8124665,-8.6197175,-3.912816000000028,red
Zn_Fe_N_din4_x2_c1_a,-628.502,Zn,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Zn_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-1.61724415,-8.6197175,-1.4890383499999995,red
Ag_Fe_N_din4_x2_c1_b,-629.43,Ag,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ag_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-3.20700575,-8.6197175,-3.5962767500000012,red
Au_Fe_N_din4_x2_c1_b,-630.538,Au,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Au_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-3.8767095,-8.6197175,-4.034573000000062,red
Cd_Fe_N_din4_x2_c1_b,-627.922,Cd,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Cd_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-1.2330587,-8.6197175,-4.062223800000076,red
Co_Fe_N_din4_x2_c1_b,-637.43,Co,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Co_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-7.3844395,-8.6197175,-7.4188430000000025,red
Cu_Fe_N_din4_x2_c1_b,-632.16,Cu,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Cu_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-4.23458825,-8.6197175,-5.29869425000002,red
Fe_Fe_N_din4_x2_c1_b,-638.72,Fe,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Fe_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-8.6197175,-8.6197175,-7.473565000000079,red
Ir_Fe_N_din4_x2_c1_b,-638.512,Ir,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ir_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-9.56008375,-8.6197175,-6.325198749999995,red
Ni_Fe_N_din4_x2_c1_b,-635.484,Ni,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ni_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-5.86878875,-8.6197175,-6.988493750000089,red
Os_Fe_N_din4_x2_c1_b,-640.368,Os,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Os_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-11.839378,-8.6197175,-5.901904500000104,red
Pd_Fe_N_din4_x2_c1_b,-634.415,Pd,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Pd_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-5.79450325,-8.6197175,-5.993779250000015,red
Pt_Fe_N_din4_x2_c1_b,-635.704,Pt,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Pt_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-6.8665185,-8.6197175,-6.210764000000003,red
Rh_Fe_N_din4_x2_c1_b,-637.125,Rh,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Rh_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-7.850822,-8.6197175,-6.647460500000051,red
Zn_Fe_N_din4_x2_c1_b,-629.434,Zn,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Zn_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-1.61724415,-8.6197175,-5.190038350000021,red
Cd_Fe_N_din4_x2_c2_a,-628.416,Cd,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Cd_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-1.2330587,-8.6197175,-0.7902238000000281,red
Co_Fe_N_din4_x2_c2_a,-637.379,Co,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Co_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-7.3844395,-8.6197175,-3.6018429999999952,red
Cu_Fe_N_din4_x2_c2_a,-632.219,Cu,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Cu_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-4.23458825,-8.6197175,-1.5916942500000264,red
Fe_Fe_N_din4_x2_c2_a,-638.733,Fe,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Fe_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-8.6197175,-8.6197175,-3.7205649999999224,red
Ir_Fe_N_din4_x2_c2_a,-638.496,Ir,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Ir_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-9.56008375,-8.6197175,-2.5431987499999558,red
Ni_Fe_N_din4_x2_c2_a,-635.364,Ni,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Ni_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-5.86878875,-8.6197175,-3.102493750000008,red
Os_Fe_N_din4_x2_c2_a,-640.423,Os,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Os_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-11.839378,-8.6197175,-2.190904499999977,red
Pd_Fe_N_din4_x2_c2_a,-634.256,Pd,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Pd_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-5.79450325,-8.6197175,-2.068779249999947,red
Pt_Fe_N_din4_x2_c2_a,-635.454,Pt,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Pt_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-6.8665185,-8.6197175,-2.1947639999999264,red
Rh_Fe_N_din4_x2_c2_a,-637.165,Rh,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Rh_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-7.850822,-8.6197175,-2.921460499999938,red
Ru_Fe_N_din4_x2_c2_a,-638.799,Ru,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Ru_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-9.8124665,-8.6197175,-2.593815999999954,red
Zn_Fe_N_din4_x2_c2_a,-629.797,Zn,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Zn_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-1.61724415,-8.6197175,-1.7870383500000013,red
Ag_Fe_N_din4_x2_c2_b,-628.51,Ag,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Ag_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-3.20700575,-8.6197175,-0.20327674999997214,red
Au_Fe_N_din4_x2_c2_b,-630.575,Au,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Au_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-3.8767095,-8.6197175,-1.5985730000000267,red
